Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
D1,24/09/17,Leverkusen,Hamburg,3,0,H,2,0,H,17,12,6,2,17,18,6,3,2,2,0,0
D1,29/09/17,Schalke 04,Leverkusen,1,1,D,1,0,H,14,10,5,6,19,16,7,4,2,3,0,0
D1,30/09/17,Augsburg,Dortmund,1,2,A,1,2,A,10,14,5,8,23,12,5,5,4,1,0,0
D1,30/09/17,Ein Frankfurt,Stuttgart,2,1,H,1,0,H,10,13,6,5,10,17,3,6,1,1,1,0
D1,30/09/17,Hamburg,Werder Bremen,0,0,D,0,0,D,17,8,6,3,13,27,6,7,1,3,0,0
D1,30/09/17,M'gladbach,Hannover,2,1,H,0,0,D,23,15,8,2,12,13,8,7,1,1,0,0
D1,30/09/17,Wolfsburg,Mainz,1,1,D,0,0,D,6,10,2,3,7,13,5,6,4,4,1,0
D1,01/10/17,FC Koln,RB Leipzig,1,2,A,0,1,A,16,23,6,10,9,13,9,7,0,2,0,0
D1,01/10/17,Freiburg,Hoffenheim,3,2,H,2,1,H,15,15,6,6,13,17,9,7,2,3,0,0
D1,01/10/17,Hertha,Bayern Munich,2,2,D,0,1,A,10,15,5,5,14,11,1,9,0,2,0,0
D1,13/10/17,Stuttgart,FC Koln,2,1,H,1,0,H,22,17,7,3,12,13,5,4,2,3,0,0
D1,14/10/17,Bayern Munich,Freiburg,5,0,H,2,0,H,22,6,10,2,5,7,9,1,0,0,0,0
D1,14/10/17,Dortmund,RB Leipzig,2,3,A,1,2,A,15,7,8,6,16,19,3,2,2,5,1,1
D1,14/10/17,Hannover,Ein Frankfurt,1,2,A,1,1,D,10,12,2,4,15,16,6,5,3,3,0,0
D1,14/10/17,Hertha,Schalke 04,0,2,A,0,0,D,2,10,0,6,12,20,1,5,1,2,1,0
D1,14/10/17,Hoffenheim,Augsburg,2,2,D,0,0,D,22,13,7,5,5,11,6,3,1,0,0,0
D1,14/10/17,Mainz,Hamburg,3,2,H,1,1,D,14,9,4,2,14,17,4,2,1,1,0,0
D1,15/10/17,Leverkusen,Wolfsburg,2,2,D,1,1,D,17,11,10,4,16,13,11,2,2,2,0,0
D1,15/10/17,Werder Bremen,M'gladbach,0,2,A,0,2,A,18,16,5,8,11,10,5,5,1,0,0,0
D1,20/10/17,Schalke 04,Mainz,2,0,H,1,0,H,14,4,5,2,17,15,5,1,3,0,0,0
D1,21/10/17,Augsburg,Hannover,1,2,A,1,0,H,15,11,5,6,11,9,11,2,1,2,0,0
D1,21/10/17,Ein Frankfurt,Dortmund,2,2,D,0,1,A,14,20,7,7,14,10,4,4,2,3,0,0
D1,21/10/17,Hamburg,Bayern Munich,0,1,A,0,0,D,7,21,3,4,9,9,7,7,1,2,1,0
D1,21/10/17,M'gladbach,Leverkusen,1,5,A,1,0,H,19,13,3,6,12,11,4,4,3,0,0,0
D1,21/10/17,RB Leipzig,Stuttgart,1,0,H,1,0,H,15,11,3,2,10,18,3,5,0,1,0,0
D1,22/10/17,FC Koln,Werder Bremen,0,0,D,0,0,D,18,13,8,2,16,20,3,6,3,3,0,0
D1,22/10/17,Freiburg,Hertha,1,1,D,0,0,D,20,11,8,3,20,15,6,1,4,3,0,0
D1,22/10/17,Wolfsburg,Hoffenheim,1,1,D,0,0,D,14,14,6,5,12,24,8,4,1,3,0,0
D1,27/10/17,Mainz,Ein Frankfurt,1,1,D,0,1,A,7,8,3,3,15,21,5,5,0,2,0,0
D1,28/10/17,Bayern Munich,RB Leipzig,2,0,H,2,0,H,23,3,7,1,7,9,11,1,1,0,0,1
D1,28/10/17,Hannover,Dortmund,4,2,H,2,1,H,13,10,7,4,17,9,5,6,2,0,0,1
D1,28/10/17,Hertha,Hamburg,2,1,H,1,0,H,8,12,3,4,14,13,9,11,0,0,0,0
D1,28/10/17,Hoffenheim,M'gladbach,1,3,A,1,0,H,16,16,5,6,14,13,5,5,2,1,0,0
D1,28/10/17,Leverkusen,FC Koln,2,1,H,0,1,A,17,9,5,2,14,13,8,10,3,2,0,0
D1,28/10/17,Schalke 04,Wolfsburg,1,1,D,1,0,H,14,7,7,2,18,12,4,2,0,0,0,0
D1,29/10/17,Stuttgart,Freiburg,3,0,H,2,0,H,18,6,6,0,13,10,6,0,3,0,0,1
D1,29/10/17,Werder Bremen,Augsburg,0,3,A,0,2,A,16,18,3,6,15,11,7,3,2,0,0,0
D1,03/11/17,Ein Frankfurt,Werder Bremen,2,1,H,1,1,D,16,13,5,7,11,13,7,8,0,0,0,0
D1,04/11/17,Augsburg,Leverkusen,1,1,D,0,0,D,14,11,4,3,13,15,6,3,3,2,0,0
D1,04/11/17,Dortmund,Bayern Munich,1,3,A,0,2,A,15,10,4,5,12,16,4,3,2,2,0,0
D1,04/11/17,Freiburg,Schalke 04,0,1,A,0,0,D,13,8,2,3,14,12,6,1,1,1,0,0
D1,04/11/17,Hamburg,Stuttgart,3,1,H,1,0,H,21,3,12,2,14,10,11,3,2,2,0,1
D1,04/11/17,M'gladbach,Mainz,1,1,D,0,1,A,10,20,3,7,5,14,9,9,1,0,0,0
D1,04/11/17,RB Leipzig,Hannover,2,1,H,0,0,D,18,12,6,4,11,16,2,3,1,4,0,0
D1,05/11/17,FC Koln,Hoffenheim,0,3,A,0,1,A,12,22,4,8,17,14,7,6,0,0,0,0
D1,05/11/17,Wolfsburg,Hertha,3,3,D,2,1,H,20,10,8,6,14,19,4,2,1,1,0,0
